case,result_name,frame,time,object_tx,object_ty,object_tz,object_qw,object_qx,object_qy,object_qz,object_pose_source,human_site_id,human_body_part,human_side,human_x,human_y,human_z,human_coordinate_frame,human_confidence,human_source,contact_state,contact_type,contact_part,audio_score,audio_anchor_type
15_suitcase_drag,final_full_6d,1,0.0,-0.359091250,0.843582756,4.499648808,0.681163463,0.731111767,0.029104385,-0.025393995,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.269722,-0.004476,4.433568,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,1,0.0,-0.359091250,0.843582756,4.499648808,0.681163463,0.731111767,0.029104385,-0.025393995,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,-0.082137,0.051572,3.800534,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,2,0.041667,-0.356344213,0.843707631,4.502330829,0.681456840,0.730860142,0.029128615,-0.024729579,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.267385,-0.006470,4.438183,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,2,0.041667,-0.356344213,0.843707631,4.502330829,0.681456840,0.730860142,0.029128615,-0.024729579,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,-0.073292,0.051432,3.799584,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,3,0.083333,-0.354984249,0.843378630,4.507586139,0.682033037,0.730381837,0.028682421,-0.023465450,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.264735,-0.009956,4.446851,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,3,0.083333,-0.354984249,0.843378630,4.507586139,0.682033037,0.730381837,0.028682421,-0.023465450,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,-0.057817,0.051358,3.798295,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,4,0.125,-0.355630747,0.842836683,4.514278348,0.683158700,0.729435814,0.027357013,-0.021660532,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.263028,-0.014534,4.457373,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,4,0.125,-0.355630747,0.842836683,4.514278348,0.683158700,0.729435814,0.027357013,-0.021660532,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,-0.038166,0.051613,3.797279,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,5,0.166667,-0.357113905,0.842317688,4.522784668,0.685325728,0.727525160,0.025372210,-0.019800000,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.261791,-0.019612,4.466144,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,5,0.166667,-0.357113905,0.842317688,4.522784668,0.685325728,0.727525160,0.025372210,-0.019800000,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,-0.015530,0.052333,3.796820,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
