frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,25964,,,,25293,,,0,0,0
2,25886,,,,25308,,,0,0,0
3,25911,,,,25554,,,0,0,0
4,25782,,,,25273,,,0,0,0
5,25515,,,,24909,,,0,0,0
6,25196,,,,24638,,,0,0,0
7,24721,,,,23853,,,0,0,0
8,24076,,,,23233,,,0,0,0
9,23620,,,,22935,,,0,0,0
10,23696,,,,23151,,,0,0,0
11,24240,,,,23284,,,0,0,0
12,24897,,,,23684,,,0,0,0
13,25212,,,,23812,,,0,0,0
14,25689,,,,23997,,,0,0,0
15,25854,,,,23618,,,0,0,0
16,25993,,,,23470,,,0,0,0
17,26253,,,,23136,,,0,0,0
18,26381,,,,23087,,,0,0,0
19,26442,,,,23076,,,0,0,0
20,26339,,,,22809,,,0,0,0
21,26515,,,,22983,,,0,0,0
22,26556,,,,23079,,,0,0,0
23,26467,,,,23065,,,0,0,0
24,26772,,,,23445,,,0,0,0
25,27180,,,,23834,,,0,0,0
26,27503,,,,24076,,,0,0,0
27,27765,,,,24254,,,0,0,0
28,27588,,,,24129,,,0,0,0
29,27340,,,,23694,,,0,0,0
30,27282,,,,23621,,,0,0,0
31,27278,,,,23378,,,0,0,0
32,27339,,,,23289,,,0,0,0
33,27425,,,,24701,,,0,0,0
34,27307,,,,25551,,,0,0,0
35,27291,,,,25480,,,0,0,0
36,26797,,,,24759,,,0,0,0
37,25540,,,,22395,,,0,0,0
38,23995,,,,21115,,,0,0,0
39,22888,,,,20370,,,0,0,0
40,22468,,,,20561,,,0,0,0
41,22166,,,,20883,,,0,0,0
42,21966,,,,21068,,,0,0,0
43,21843,,,,21085,,,0,0,0
44,22239,,,,21515,,,0,0,0
45,22340,,,,21558,,,0,0,0
46,22421,,,,21672,,,0,0,0
47,22648,,,,21875,,,0,0,0
48,22711,,,,21990,,,0,0,0
49,22811,,,,22169,,,0,0,0
50,22810,,,,22230,,,0,0,0
51,22843,,,,22140,,,0,0,0
52,22897,,,,22152,,,0,0,0
53,23001,,,,22201,,,0,0,0
54,22948,,,,22182,,,0,0,0
55,23188,,,,22378,,,0,0,0
56,23188,,,,22404,,,0,0,0
57,23360,,,,22472,,,0,0,0
58,23304,,,,22477,,,0,0,0
