frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,25964,34277,2810,0.108227,995,995,1.000000,1,1,0
2,25886,31523,1305,0.050413,216,216,1.000000,1,1,0
3,25911,30469,1682,0.064915,463,463,1.000000,1,1,0
4,25782,32606,1250,0.048483,542,542,1.000000,1,1,0
5,25515,35027,1998,0.078307,551,551,1.000000,1,1,0
6,25196,32770,1968,0.078108,552,552,1.000000,1,1,0
7,24721,33041,1743,0.070507,511,511,1.000000,1,1,0
8,24076,31821,1013,0.042075,257,257,1.000000,1,1,0
9,23620,32482,749,0.031710,163,163,1.000000,1,1,0
10,23696,32954,771,0.032537,154,154,1.000000,1,1,0
11,24240,31309,547,0.022566,128,128,1.000000,1,1,0
12,24897,30798,383,0.015383,29,29,1.000000,1,1,0
13,25212,32460,1043,0.041369,26,26,1.000000,1,1,0
14,25689,31636,439,0.017089,101,101,1.000000,1,1,0
15,25854,29037,817,0.031601,219,219,1.000000,1,1,0
16,25993,29108,823,0.031662,202,202,1.000000,1,1,0
17,26253,30900,1179,0.044909,282,282,1.000000,1,1,0
18,26381,28297,766,0.029036,36,36,1.000000,1,1,0
19,26442,30053,1094,0.041374,202,202,1.000000,1,1,0
20,26339,28495,1159,0.044003,158,158,1.000000,1,1,0
21,26515,33665,1857,0.070036,329,329,1.000000,1,1,0
22,26556,30486,1487,0.055995,272,272,1.000000,1,1,0
23,26467,30487,1159,0.043790,176,176,1.000000,1,1,0
24,26772,29233,963,0.035970,120,120,1.000000,1,1,0
25,27180,34018,1787,0.065747,360,360,1.000000,1,1,0
26,27503,32509,1208,0.043922,263,263,1.000000,1,1,0
27,27765,30266,1870,0.067351,474,474,1.000000,1,1,0
28,27588,30473,2027,0.073474,495,495,1.000000,1,1,0
29,27340,29937,1982,0.072495,528,528,1.000000,1,1,0
30,27282,29656,1948,0.071402,488,488,1.000000,1,1,0
31,27278,30606,1428,0.052350,321,321,1.000000,1,1,0
32,27339,31669,677,0.024763,79,79,1.000000,1,1,0
33,27425,31723,1560,0.056882,379,379,1.000000,1,1,0
34,27307,31457,337,0.012341,0,0,,1,1,0
35,27291,31834,911,0.033381,239,239,1.000000,1,1,0
36,26797,32239,1681,0.062731,225,225,1.000000,1,1,0
37,25540,33072,2048,0.080188,244,244,1.000000,1,1,0
38,23995,33259,1457,0.060721,107,107,1.000000,1,1,0
39,22888,36783,2907,0.127010,343,343,1.000000,1,1,0
40,22468,37538,4255,0.189380,577,577,1.000000,1,1,0
41,22166,35435,3938,0.177659,465,465,1.000000,1,1,0
42,21966,36213,3353,0.152645,499,499,1.000000,1,1,0
43,21843,39043,4905,0.224557,726,726,1.000000,1,1,0
44,22239,35422,4102,0.184451,635,635,1.000000,1,1,0
45,22340,38527,5718,0.255953,851,851,1.000000,1,1,0
46,22421,38148,4441,0.198073,627,627,1.000000,1,1,0
47,22648,36996,5031,0.222139,744,744,1.000000,1,1,0
48,22711,36370,5116,0.225265,687,687,1.000000,1,1,0
49,22811,38880,5675,0.248783,703,703,1.000000,1,1,0
50,22810,36792,4576,0.200614,637,637,1.000000,1,1,0
51,22843,38541,4304,0.188417,662,662,1.000000,1,1,0
52,22897,35951,4141,0.180853,672,672,1.000000,1,1,0
53,23001,37244,4344,0.188861,719,719,1.000000,1,1,0
54,22948,37808,3761,0.163892,535,535,1.000000,1,1,0
55,23188,37666,4367,0.188330,645,645,1.000000,1,1,0
56,23188,37404,3780,0.163015,228,228,1.000000,1,1,0
57,23360,37939,4762,0.203853,518,518,1.000000,1,1,0
58,23304,36824,3828,0.164264,188,188,1.000000,1,1,0
59,23422,38059,4120,0.175903,314,314,1.000000,1,1,0
60,23576,36783,4297,0.182262,227,227,1.000000,1,1,0
61,23643,37916,4857,0.205431,408,408,1.000000,1,1,0
62,23653,31888,5051,0.213546,804,804,1.000000,1,1,0
63,23770,38772,5860,0.246529,1086,1086,1.000000,1,1,0
