frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
1,0.0,generic_sequence_executor,-0.4339216372361592,-0.359091250,0.843582756,4.499648808,0.681163463,0.731111767,0.029104385,-0.025393995,generic-solve-93755e7aab23
2,0.041667,generic_sequence_executor,-0.4339216372361592,-0.356344213,0.843707631,4.502330829,0.681456840,0.730860142,0.029128615,-0.024729579,generic-solve-93755e7aab23
3,0.083333,generic_sequence_executor,-0.4339216372361592,-0.354984249,0.843378630,4.507586139,0.682033037,0.730381837,0.028682421,-0.023465450,generic-solve-93755e7aab23
4,0.125,generic_sequence_executor,-0.32978044429948117,-0.355630747,0.842836683,4.514278348,0.683158700,0.729435814,0.027357013,-0.021660532,generic-solve-93755e7aab23
5,0.166667,generic_sequence_executor,-0.22563925136280272,-0.357113905,0.842317688,4.522784668,0.685325728,0.727525160,0.025372210,-0.019800000,generic-solve-93755e7aab23
6,0.208333,generic_sequence_executor,-0.22563925136280272,-0.357703528,0.841676109,4.540235900,0.689011317,0.724136832,0.023511966,-0.018342334,generic-solve-93755e7aab23
7,0.25,generic_sequence_executor,-0.1909255203839102,-0.357536462,0.840302546,4.574425404,0.693870985,0.719536978,0.022383818,-0.017565847,generic-solve-93755e7aab23
8,0.291667,generic_sequence_executor,-0.22563925136280272,-0.357120216,0.837742241,4.623259733,0.698507336,0.715048104,0.022106421,-0.017464752,generic-solve-93755e7aab23
9,0.333333,generic_sequence_executor,-0.26035298234169524,-0.355457537,0.835315756,4.662509165,0.701167414,0.712418029,0.022541143,-0.017796224,generic-solve-93755e7aab23
10,0.375,generic_sequence_executor,-0.22563925136280272,-0.350692442,0.835577590,4.657645095,0.700740419,0.712790584,0.023544969,-0.018387034,generic-solve-93755e7aab23
11,0.416667,generic_sequence_executor,-0.26035298234169524,-0.343370447,0.838355162,4.612049832,0.697443471,0.715943091,0.024944187,-0.019387709,generic-solve-93755e7aab23
12,0.458333,generic_sequence_executor,-0.22563925136280272,-0.336376003,0.840720446,4.566334887,0.692659017,0.720467447,0.026527873,-0.021128559,generic-solve-93755e7aab23
13,0.5,generic_sequence_executor,-0.22563925136280272,-0.331103368,0.841554398,4.541206934,0.688052234,0.724719590,0.028337782,-0.023719381,generic-solve-93755e7aab23
14,0.541667,generic_sequence_executor,-0.22563925136280272,-0.327459198,0.841991058,4.528019374,0.684707360,0.727666726,0.030811761,-0.026974108,generic-solve-93755e7aab23
15,0.583333,generic_sequence_executor,-0.22563925136280272,-0.325482380,0.842565997,4.518792867,0.682743738,0.729196368,0.034413356,-0.030811793,generic-solve-93755e7aab23
16,0.625,generic_sequence_executor,-0.15621178940501723,-0.324553163,0.842972368,4.512986079,0.681632669,0.729786223,0.039210231,-0.035376996,generic-solve-93755e7aab23
17,0.666667,generic_sequence_executor,-0.1909255203839102,-0.324422371,0.843133850,4.510317347,0.680852172,0.729928655,0.044751651,-0.040518739,generic-solve-93755e7aab23
18,0.708333,generic_sequence_executor,-0.22563925136280272,-0.326277318,0.843134509,4.509888450,0.680195583,0.729918847,0.049968584,-0.045338572,generic-solve-93755e7aab23
19,0.75,generic_sequence_executor,-0.15621178940501723,-0.329575974,0.842988605,4.511084378,0.679714108,0.729904811,0.053521649,-0.048612048,generic-solve-93755e7aab23
20,0.791667,generic_sequence_executor,-0.1909255203839102,-0.331877791,0.842828434,4.512425790,0.679488962,0.729913011,0.054996713,-0.049971068,generic-solve-93755e7aab23
21,0.833333,generic_sequence_executor,-0.1909255203839102,-0.332802097,0.842772391,4.512843468,0.679443648,0.729919166,0.055254476,-0.050212381,generic-solve-93755e7aab23
22,0.875,generic_sequence_executor,-0.15621178940501723,-0.333539526,0.842781342,4.512776215,0.679445089,0.729920455,0.055231712,-0.050199192,generic-solve-93755e7aab23
23,0.916667,generic_sequence_executor,-0.1909255203839102,-0.335282279,0.842873332,4.512014478,0.679385574,0.729792211,0.056530993,-0.051408345,generic-solve-93755e7aab23
24,0.958333,generic_sequence_executor,-0.15621178940501723,-0.340167674,0.843115789,4.509792810,0.679001646,0.729031406,0.063855280,-0.058244972,generic-solve-93755e7aab23
25,1.0,generic_sequence_executor,-0.15621178940501723,-0.349249953,0.843341404,4.507989680,0.677688720,0.726722575,0.082690469,-0.075990683,generic-solve-93755e7aab23
26,1.041667,generic_sequence_executor,-0.15621178940501723,-0.360730257,0.843264421,4.509742825,0.674707573,0.721726129,0.113402401,-0.104980861,generic-solve-93755e7aab23
27,1.083333,generic_sequence_executor,-0.22563925136280272,-0.371921670,0.842831930,4.515011079,0.670130904,0.713368381,0.150499788,-0.139211843,generic-solve-93755e7aab23
28,1.125,generic_sequence_executor,-0.1909255203839102,-0.379797196,0.842187427,4.521411519,0.665346565,0.703000845,0.185296844,-0.169613799,generic-solve-93755e7aab23
29,1.166667,generic_sequence_executor,-0.26035298234169524,-0.382758241,0.841593580,4.526529168,0.662084910,0.694514589,0.208900276,-0.188821959,generic-solve-93755e7aab23
30,1.208333,generic_sequence_executor,-0.3644941752783737,-0.383118477,0.841291108,4.528945650,0.660804067,0.690612044,0.218747696,-0.196322274,generic-solve-93755e7aab23
31,1.25,generic_sequence_executor,-0.46863536821505214,-0.383472410,0.841333534,4.529437629,0.660555914,0.689903308,0.220542534,-0.197636792,generic-solve-93755e7aab23
32,1.291667,generic_sequence_executor,-0.5727765611517301,-0.382730771,0.841517033,4.529514149,0.660573279,0.689912468,0.220507496,-0.197585864,generic-solve-93755e7aab23
33,1.333333,generic_sequence_executor,-0.6769177540884082,-0.379890133,0.841057012,4.523748914,0.662853136,0.686882820,0.223086655,-0.197610869,generic-solve-93755e7aab23
34,1.375,generic_sequence_executor,-0.7810589470250866,-0.382174914,0.838868750,4.499445652,0.673193219,0.671946623,0.236337092,-0.198603639,generic-solve-93755e7aab23
35,1.416667,generic_sequence_executor,-0.885200139961765,-0.400457576,0.834198945,4.461343738,0.693091729,0.638373180,0.266710048,-0.202408715,generic-solve-93755e7aab23
36,1.458333,generic_sequence_executor,-0.9199138709406576,-0.433096258,0.827460583,4.437467854,0.712593531,0.593531707,0.309094156,-0.210692611,generic-solve-93755e7aab23
37,1.5,generic_sequence_executor,-0.9199138709406576,-0.466942082,0.822829078,4.455149680,0.720123772,0.554366975,0.351877325,-0.224235053,generic-solve-93755e7aab23
38,1.541667,generic_sequence_executor,-0.9199138709406576,-0.492043576,0.824573663,4.512194506,0.713810828,0.530739220,0.387576856,-0.242020997,generic-solve-93755e7aab23
39,1.583333,generic_sequence_executor,-0.9199138709406576,-0.506520187,0.827605359,4.547620741,0.700238264,0.519564953,0.414625008,-0.260393426,generic-solve-93755e7aab23
40,1.625,generic_sequence_executor,-0.9199138709406576,-0.513375925,0.826886562,4.528717289,0.686592370,0.514117829,0.433788804,-0.275864186,generic-solve-93755e7aab23
41,1.666667,generic_sequence_executor,-0.9199138709406576,-0.517000735,0.827718071,4.518683921,0.676081485,0.511426935,0.445877350,-0.287314644,generic-solve-93755e7aab23
42,1.708333,generic_sequence_executor,-0.9199138709406576,-0.522282845,0.829214194,4.529532445,0.670985134,0.508534100,0.452888288,-0.293367035,generic-solve-93755e7aab23
43,1.75,generic_sequence_executor,-0.9199138709406576,-0.532939680,0.824403064,4.507532882,0.673074674,0.502079792,0.457378590,-0.292730579,generic-solve-93755e7aab23
