frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
1,0.0,generic_sequence_executor,-0.4339216372361592,-0.357864951,0.843692669,4.498256151,0.681262958,0.731529517,0.020816915,-0.017663636,generic-solve-83deec68b4bb
2,0.041667,generic_sequence_executor,-0.4339216372361592,-0.355007428,0.843671335,4.502906689,0.681524658,0.731301066,0.020838032,-0.016990235,generic-solve-83deec68b4bb
3,0.083333,generic_sequence_executor,-0.4339216372361592,-0.353612858,0.843164338,4.510693378,0.682043599,0.730856847,0.020422739,-0.015738836,generic-solve-83deec68b4bb
4,0.125,generic_sequence_executor,-0.32978044429948117,-0.354274216,0.842494494,4.519222658,0.683095792,0.729940858,0.019232231,-0.014021569,generic-solve-83deec68b4bb
5,0.166667,generic_sequence_executor,-0.22563925136280272,-0.355819822,0.841948953,4.528094513,0.685202587,0.728035400,0.017566330,-0.012381279,generic-solve-83deec68b4bb
6,0.208333,generic_sequence_executor,-0.22563925136280272,-0.356523490,0.841333835,4.545078616,0.688860172,0.724623514,0.016260415,-0.011314807,generic-solve-83deec68b4bb
7,0.25,generic_sequence_executor,-0.1909255203839102,-0.356492439,0.840000729,4.578563862,0.693722823,0.719979903,0.015919820,-0.011141926,generic-solve-83deec68b4bb
8,0.291667,generic_sequence_executor,-0.22563925136280272,-0.356197948,0.837500930,4.626466183,0.698377757,0.715437714,0.016615368,-0.011887574,generic-solve-83deec68b4bb
9,0.333333,generic_sequence_executor,-0.26035298234169524,-0.354668513,0.835164747,4.664387972,0.701058450,0.712749597,0.018141833,-0.013264101,generic-solve-83deec68b4bb
10,0.375,generic_sequence_executor,-0.22563925136280272,-0.350080036,0.835521385,4.658133056,0.700652967,0.713057408,0.020259718,-0.014969846,generic-solve-83deec68b4bb
11,0.416667,generic_sequence_executor,-0.26035298234169524,-0.342947305,0.838357195,4.611745648,0.697382437,0.716138461,0.022672187,-0.017012135,generic-solve-83deec68b4bb
12,0.458333,generic_sequence_executor,-0.22563925136280272,-0.336106078,0.840738429,4.565920972,0.692626751,0.720592892,0.025079811,-0.019623238,generic-solve-83deec68b4bb
13,0.5,generic_sequence_executor,-0.22563925136280272,-0.330940362,0.841569108,4.540946176,0.688042957,0.724787709,0.027505043,-0.022872245,generic-solve-83deec68b4bb
14,0.541667,generic_sequence_executor,-0.22563925136280272,-0.327374181,0.841998828,4.527904193,0.684710086,0.727695627,0.030410650,-0.026577547,generic-solve-83deec68b4bb
15,0.583333,generic_sequence_executor,-0.22563925136280272,-0.325455027,0.842567356,4.518774922,0.682748372,0.729202515,0.034295616,-0.030694672,generic-solve-83deec68b4bb
16,0.625,generic_sequence_executor,-0.15621178940501723,-0.324555119,0.842969215,4.513029362,0.681633163,0.729781017,0.039259859,-0.035419802,generic-solve-83deec68b4bb
17,0.666667,generic_sequence_executor,-0.1909255203839102,-0.324430060,0.843128392,4.510392498,0.680846736,0.729918445,0.044885421,-0.040645848,generic-solve-83deec68b4bb
18,0.708333,generic_sequence_executor,-0.22563925136280272,-0.326288681,0.843128439,4.509972065,0.680185551,0.729906429,0.050136745,-0.045503060,generic-solve-83deec68b4bb
19,0.75,generic_sequence_executor,-0.15621178940501723,-0.329594478,0.842982590,4.511166204,0.679701791,0.729891381,0.053699958,-0.048788952,generic-solve-83deec68b4bb
20,0.791667,generic_sequence_executor,-0.1909255203839102,-0.331899667,0.842822462,4.512505807,0.679475926,0.729899249,0.055176283,-0.050151077,generic-solve-83deec68b4bb
21,0.833333,generic_sequence_executor,-0.1909255203839102,-0.332824184,0.842766411,4.512923184,0.679430509,0.729905352,0.055433874,-0.050392922,generic-solve-83deec68b4bb
22,0.875,generic_sequence_executor,-0.15621178940501723,-0.333561929,0.842775363,4.512855935,0.679431961,0.729906638,0.055411138,-0.050379717,generic-solve-83deec68b4bb
23,0.916667,generic_sequence_executor,-0.1909255203839102,-0.335301636,0.842867468,4.512093017,0.679371729,0.729778590,0.056708854,-0.051588461,generic-solve-83deec68b4bb
24,0.958333,generic_sequence_executor,-0.15621178940501723,-0.340173535,0.843110431,4.509865968,0.678984492,0.729018300,0.064024930,-0.058422480,generic-solve-83deec68b4bb
25,1.0,generic_sequence_executor,-0.15621178940501723,-0.349239576,0.843337027,4.508051829,0.677665394,0.726709421,0.082842222,-0.076159028,generic-solve-83deec68b4bb
26,1.041667,generic_sequence_executor,-0.15621178940501723,-0.360719347,0.843261181,4.509790301,0.674678780,0.721711150,0.113531724,-0.105129001,generic-solve-83deec68b4bb
27,1.083333,generic_sequence_executor,-0.22563925136280272,-0.371923642,0.842829690,4.515043466,0.670100811,0.713350297,0.150608909,-0.139331310,generic-solve-83deec68b4bb
28,1.125,generic_sequence_executor,-0.1909255203839102,-0.379808301,0.842185962,4.521431870,0.665318711,0.702980249,0.185389853,-0.169706763,generic-solve-83deec68b4bb
29,1.166667,generic_sequence_executor,-0.26035298234169524,-0.382770510,0.841592599,4.526542552,0.662059783,0.694492866,0.208982379,-0.188899095,generic-solve-83deec68b4bb
30,1.208333,generic_sequence_executor,-0.3644941752783737,-0.383129733,0.841290325,4.528956362,0.660780266,0.690590001,0.218825055,-0.196393703,generic-solve-83deec68b4bb
31,1.25,generic_sequence_executor,-0.46863536821505214,-0.383483308,0.841332775,4.529447824,0.660532359,0.689881211,0.220619008,-0.197707285,generic-solve-83deec68b4bb
32,1.291667,generic_sequence_executor,-0.5727765611517301,-0.382741751,0.841516247,4.529524343,0.660549719,0.689890374,0.220583989,-0.197656382,generic-solve-83deec68b4bb
33,1.333333,generic_sequence_executor,-0.6769177540884082,-0.379901636,0.841056273,4.523759375,0.662829443,0.686861011,0.223162385,-0.197680631,generic-solve-83deec68b4bb
34,1.375,generic_sequence_executor,-0.7810589470250866,-0.382187542,0.838868247,4.499457123,0.673168957,0.671926249,0.236408859,-0.198669380,generic-solve-83deec68b4bb
35,1.416667,generic_sequence_executor,-0.885200139961765,-0.400470866,0.834198864,4.461356204,0.693066914,0.638356193,0.266772483,-0.202464975,generic-solve-83deec68b4bb
36,1.458333,generic_sequence_executor,-0.9199138709406576,-0.433108062,0.827460965,4.437479300,0.712569827,0.593519555,0.309143013,-0.210735323,generic-solve-83deec68b4bb
37,1.5,generic_sequence_executor,-0.9199138709406576,-0.466950209,0.822829697,4.455157714,0.720103784,0.554359366,0.351911764,-0.224264003,generic-solve-83deec68b4bb
38,1.541667,generic_sequence_executor,-0.9199138709406576,-0.492047717,0.824574126,4.512198645,0.713796339,0.530734728,0.387598655,-0.242038670,generic-solve-83deec68b4bb
39,1.583333,generic_sequence_executor,-0.9199138709406576,-0.506521674,0.827605502,4.547622347,0.700229487,0.519562377,0.414637072,-0.260402958,generic-solve-83deec68b4bb
40,1.625,generic_sequence_executor,-0.9199138709406576,-0.513376219,0.826886546,4.528718015,0.686588256,0.514116616,0.433794138,-0.275868298,generic-solve-83deec68b4bb
