frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,-0.291270,-0.060658,4.454901,-0.269722,-0.004476,4.433568,-0.244739,0.018693,4.392475,-0.224626,0.035081,4.397211,-0.219461,0.036846,4.408120,-0.217104,0.032277,4.417194,-0.223456,0.037651,4.433614,1,-0.094871,-0.014854,3.815669,-0.082137,0.051572,3.800534,-0.052544,0.098668,3.815979,-0.067619,0.127302,3.842649,-0.088393,0.120607,3.844591,-0.100176,0.110050,3.845458,-0.119310,0.103861,3.828230
2,0.083333,1,-0.288223,-0.064307,4.454135,-0.267385,-0.006470,4.438183,-0.249860,0.022187,4.406580,-0.232404,0.039781,4.409154,-0.228037,0.040762,4.416614,-0.224978,0.035848,4.422424,-0.227830,0.037594,4.434820,1,-0.082471,-0.014864,3.813165,-0.073292,0.051432,3.799584,-0.043380,0.098334,3.815998,-0.058749,0.126567,3.842435,-0.079410,0.119727,3.844159,-0.091324,0.109170,3.844741,-0.110321,0.103480,3.827479
3,0.125000,1,-0.285987,-0.069811,4.453630,-0.264735,-0.009956,4.446851,-0.258277,0.027265,4.429326,-0.245005,0.045920,4.430265,-0.241814,0.045403,4.432598,-0.237977,0.040289,4.433978,-0.235799,0.037657,4.440174,1,-0.062733,-0.015722,3.811573,-0.057817,0.051358,3.798295,-0.026819,0.097843,3.816262,-0.042468,0.125627,3.842110,-0.062999,0.119012,3.843649,-0.075297,0.108514,3.843859,-0.094220,0.103196,3.826878
4,0.166667,1,-0.283491,-0.075305,4.453301,-0.263028,-0.014534,4.457373,-0.268242,0.031221,4.449301,-0.258861,0.049067,4.450146,-0.255542,0.046446,4.448178,-0.250300,0.041516,4.446528,-0.242481,0.036759,4.448259,1,-0.044149,-0.015220,3.811799,-0.038166,0.051613,3.797279,-0.005174,0.097428,3.817021,-0.020940,0.125253,3.841862,-0.041387,0.119387,3.843382,-0.054348,0.109029,3.843219,-0.073316,0.103564,3.826783
5,0.208333,1,-0.281935,-0.080724,4.449978,-0.261791,-0.019612,4.466144,-0.278214,0.032568,4.457316,-0.271453,0.047173,4.457789,-0.265777,0.042024,4.453808,-0.257726,0.037337,4.451286,-0.243522,0.033243,4.452499,1,-0.024327,-0.014531,3.808575,-0.015530,0.052333,3.796820,0.019433,0.097275,3.818317,0.003777,0.126065,3.841909,-0.016583,0.121133,3.843379,-0.030287,0.110973,3.842693,-0.049251,0.104964,3.826460
6,0.250000,1,-0.277032,-0.085781,4.450336,-0.260463,-0.024217,4.470610,-0.284676,0.031342,4.453771,-0.279537,0.041267,4.452834,-0.270860,0.033702,4.449110,-0.259792,0.029058,4.447037,-0.240242,0.027105,4.450145,1,0.001604,-0.013588,3.810116,0.009742,0.053456,3.796971,0.045078,0.097519,3.820071,0.029989,0.128135,3.842427,0.009843,0.124139,3.843419,-0.004390,0.114285,3.841805,-0.023137,0.107542,3.824939
7,0.291667,1,-0.271254,-0.088905,4.445886,-0.258516,-0.028048,4.471502,-0.284926,0.028483,4.445855,-0.280789,0.034306,4.443730,-0.270135,0.025303,4.441256,-0.257386,0.020635,4.440070,-0.235460,0.020569,4.445348,1,0.028410,-0.011503,3.807121,0.037138,0.054754,3.797965,0.070360,0.098138,3.822909,0.056372,0.130690,3.844059,0.036659,0.127701,3.843759,0.022305,0.118381,3.840603,0.004100,0.110880,3.822306
8,0.333333,1,-0.264427,-0.092689,4.444687,-0.254870,-0.031696,4.471507,-0.281419,0.025240,4.441336,-0.277654,0.029616,4.438774,-0.265927,0.020628,4.436502,-0.252600,0.016166,4.435828,-0.230234,0.016417,4.442518,1,0.056078,-0.010169,3.807436,0.065703,0.055925,3.800589,0.094904,0.098794,3.828519,0.082175,0.132413,3.848262,0.063061,0.130452,3.845811,0.048975,0.121977,3.840498,0.031762,0.114003,3.820378
9,0.375000,1,-0.259136,-0.095409,4.441739,-0.249660,-0.035340,4.471993,-0.277818,0.022291,4.442037,-0.274025,0.027945,4.439229,-0.261534,0.019800,4.435519,-0.247780,0.015828,4.434633,-0.225082,0.015087,4.441861,1,0.084237,-0.008876,3.808205,0.094064,0.056671,3.805699,0.118824,0.098967,3.838083,0.107127,0.132308,3.856180,0.088640,0.131314,3.851186,0.075000,0.124041,3.843429,0.059199,0.116194,3.821519
10,0.416667,1,-0.255158,-0.097956,4.444052,-0.244873,-0.038470,4.472341,-0.273903,0.019441,4.442871,-0.270386,0.026750,4.439959,-0.257347,0.019293,4.434808,-0.243032,0.015742,4.433667,-0.219976,0.014251,4.441518,1,0.109619,-0.008280,3.815759,0.120667,0.056673,3.813216,0.141701,0.098195,3.850528,0.130860,0.130030,3.867265,0.112994,0.129977,3.859977,0.099740,0.124258,3.849982,0.085481,0.117269,3.826517
