frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
1,0.0,generic_sequence_executor,-1.4406198356240487,-0.392401013,0.835233672,4.590847479,0.663083430,0.700567860,0.185466923,-0.187422142,generic-solve-712364a40185
2,0.041667,generic_sequence_executor,-1.4406198356240487,-0.409546275,0.833831555,4.624995609,0.619137966,0.668452624,0.294839464,-0.287939157,generic-solve-712364a40185
3,0.083333,generic_sequence_executor,-1.4406198356240487,-0.394371822,0.827978654,4.671996532,0.566044942,0.643657730,0.370639320,-0.357665129,generic-solve-712364a40185
4,0.125,generic_sequence_executor,-1.4406198356240487,-0.379027787,0.825439064,4.682529152,0.536597208,0.632011342,0.397215961,-0.393502961,generic-solve-712364a40185
5,0.166667,generic_sequence_executor,-1.4406198356240487,-0.372181397,0.825434413,4.675578159,0.536414825,0.632493366,0.394241137,-0.395961114,generic-solve-712364a40185
6,0.208333,generic_sequence_executor,-1.4406198356240487,-0.378341005,0.832929181,4.636487156,0.583984332,0.641322698,0.352780228,-0.351017959,generic-solve-712364a40185
7,0.25,generic_sequence_executor,-1.4753335666029415,-0.382268991,0.834041569,4.618609355,0.650428102,0.676993863,0.247434122,-0.239580778,generic-solve-712364a40185
8,0.291667,generic_sequence_executor,-1.5100472975818342,-0.366165566,0.834930275,4.596468294,0.694176672,0.703704605,0.107932526,-0.106156236,generic-solve-712364a40185
9,0.333333,generic_sequence_executor,-1.544761028560727,-0.350142753,0.834102527,4.580794552,0.709614272,0.704032271,0.019655165,-0.019995549,generic-solve-712364a40185
10,0.375,generic_sequence_executor,-1.544761028560727,-0.343940205,0.835775620,4.559818240,0.708319457,0.705843543,-0.004783620,0.006749514,generic-solve-712364a40185
11,0.416667,generic_sequence_executor,-1.544761028560727,-0.339337309,0.838814209,4.535763810,0.701125615,0.712969139,-0.005036982,0.008515164,generic-solve-712364a40185
12,0.458333,generic_sequence_executor,-1.5100472975818342,-0.338175394,0.839331561,4.531912134,0.699121403,0.714993460,0.003573325,0.000920515,generic-solve-712364a40185
13,0.5,generic_sequence_executor,-1.4753335666029415,-0.339922753,0.839090038,4.537065077,0.698138838,0.715832032,0.011608158,-0.007205221,generic-solve-712364a40185
14,0.541667,generic_sequence_executor,-1.4406198356240487,-0.340046596,0.838829033,4.541196209,0.697147695,0.716563547,0.018036214,-0.014016749,generic-solve-712364a40185
15,0.583333,generic_sequence_executor,-1.4406198356240487,-0.340462761,0.839214143,4.537925171,0.696502643,0.716964513,0.022089441,-0.018921171,generic-solve-712364a40185
16,0.625,generic_sequence_executor,-1.4406198356240487,-0.339589907,0.839463788,4.535377525,0.695985299,0.717236827,0.026163751,-0.022164284,generic-solve-712364a40185
17,0.666667,generic_sequence_executor,-1.4406198356240487,-0.339822266,0.839640253,4.535105870,0.694608965,0.718204219,0.031137134,-0.027047448,generic-solve-712364a40185
18,0.708333,generic_sequence_executor,-1.4406198356240487,-0.340417350,0.839880129,4.533853590,0.693537129,0.718773369,0.036692910,-0.032011332,generic-solve-712364a40185
19,0.75,generic_sequence_executor,-1.4406198356240487,-0.341930984,0.840017925,4.531413310,0.693574884,0.718274684,0.041577253,-0.036148174,generic-solve-712364a40185
20,0.791667,generic_sequence_executor,-1.4406198356240487,-0.343060492,0.840503760,4.527277347,0.692642918,0.718882386,0.044140107,-0.038801478,generic-solve-712364a40185
21,0.833333,generic_sequence_executor,-1.4406198356240487,-0.347770418,0.840472006,4.528251987,0.691839431,0.719427840,0.046475403,-0.040271856,generic-solve-712364a40185
22,0.875,generic_sequence_executor,-1.4406198356240487,-0.350869527,0.840636258,4.526736129,0.691529106,0.719625613,0.046956553,-0.041491631,generic-solve-712364a40185
23,0.916667,generic_sequence_executor,-1.4406198356240487,-0.354115519,0.841048678,4.521792391,0.691854879,0.719207469,0.047742743,-0.042403703,generic-solve-712364a40185
24,0.958333,generic_sequence_executor,-1.4406198356240487,-0.357707843,0.841215046,4.519831592,0.690975846,0.720074325,0.048007980,-0.041720267,generic-solve-712364a40185
25,1.0,generic_sequence_executor,-1.4406198356240487,-0.360677210,0.841556903,4.516464333,0.690877383,0.720510678,0.045100310,-0.038971347,generic-solve-712364a40185
26,1.041667,generic_sequence_executor,-1.4406198356240487,-0.365275704,0.841555806,4.514867084,0.691892979,0.720019593,0.040576583,-0.034776886,generic-solve-712364a40185
27,1.083333,generic_sequence_executor,-1.4406198356240487,-0.368261856,0.841975947,4.510586138,0.691430662,0.720689879,0.038635273,-0.032203322,generic-solve-712364a40185
28,1.125,generic_sequence_executor,-1.4406198356240487,-0.371129132,0.842038029,4.508728854,0.691634011,0.720576187,0.037681757,-0.031503000,generic-solve-712364a40185
29,1.166667,generic_sequence_executor,-1.4406198356240487,-0.374422485,0.842263083,4.504235119,0.692373781,0.719343827,0.042963933,-0.036291942,generic-solve-712364a40185
30,1.208333,generic_sequence_executor,-1.4406198356240487,-0.377652250,0.842510721,4.500685970,0.692127196,0.716924329,0.062419836,-0.055526705,generic-solve-712364a40185
31,1.25,generic_sequence_executor,-1.4406198356240487,-0.381508369,0.842681152,4.505012788,0.684696282,0.713256406,0.110152017,-0.101601349,generic-solve-712364a40185
32,1.291667,generic_sequence_executor,-1.4406198356240487,-0.388755296,0.840983614,4.529742045,0.666705598,0.693494052,0.199050122,-0.186945699,generic-solve-712364a40185
33,1.333333,generic_sequence_executor,-1.5100472975818342,-0.401235879,0.837335612,4.561883211,0.610916767,0.628152480,0.356991785,-0.323669633,generic-solve-712364a40185
34,1.375,generic_sequence_executor,-1.5100472975818342,-0.398747934,0.836246680,4.583476173,0.379077930,0.386812650,0.624283210,-0.562979902,generic-solve-712364a40185
35,1.416667,generic_sequence_executor,-1.544761028560727,-0.410294339,0.832286975,4.590811550,0.298838589,0.271563063,0.698861238,-0.590374433,generic-solve-712364a40185
36,1.458333,generic_sequence_executor,-1.544761028560727,-0.427559912,0.828305357,4.593570039,0.291570073,0.239072081,0.726515024,-0.574462665,generic-solve-712364a40185
37,1.5,generic_sequence_executor,-1.544761028560727,-0.447956541,0.824350675,4.591353559,0.316027390,0.240681748,0.736573655,-0.547410481,generic-solve-712364a40185
38,1.541667,generic_sequence_executor,-1.544761028560727,-0.456666283,0.823924271,4.584288809,0.339349729,0.260494405,0.727896969,-0.535864190,generic-solve-712364a40185
39,1.583333,generic_sequence_executor,-1.544761028560727,-0.455802779,0.827045637,4.568711129,0.357089880,0.285663665,0.708994786,-0.536851451,generic-solve-712364a40185
40,1.625,generic_sequence_executor,-1.544761028560727,-0.452009886,0.829459997,4.556497037,0.375109796,0.309338150,0.690286491,-0.535823768,generic-solve-712364a40185
41,1.666667,generic_sequence_executor,-1.544761028560727,-0.447309037,0.831951993,4.547086396,0.386031396,0.331024917,0.673049793,-0.537034674,generic-solve-712364a40185
42,1.708333,generic_sequence_executor,-1.544761028560727,-0.446309741,0.832932044,4.541380888,0.394529275,0.343969859,0.663669535,-0.534391369,generic-solve-712364a40185
43,1.75,generic_sequence_executor,-1.544761028560727,-0.453627943,0.831831101,4.538903772,0.403877102,0.346675030,0.663635817,-0.525630300,generic-solve-712364a40185
44,1.791667,generic_sequence_executor,-1.544761028560727,-0.463723887,0.831101236,4.532049265,0.408180022,0.344852671,0.667147271,-0.519018519,generic-solve-712364a40185
45,1.833333,generic_sequence_executor,-1.544761028560727,-0.474161787,0.830746481,4.522308745,0.409712534,0.339517255,0.672497977,-0.514402706,generic-solve-712364a40185
46,1.875,generic_sequence_executor,-1.544761028560727,-0.481673375,0.830999907,4.516609639,0.405734204,0.333839528,0.676565959,-0.515935489,generic-solve-712364a40185
47,1.916667,generic_sequence_executor,-1.544761028560727,-0.485505745,0.831636846,4.512327489,0.400620491,0.332204896,0.677732180,-0.519444147,generic-solve-712364a40185
48,1.958333,generic_sequence_executor,-1.544761028560727,-0.490823484,0.832091948,4.505199799,0.403317248,0.333756233,0.676605615,-0.517828944,generic-solve-712364a40185
49,2.0,generic_sequence_executor,-1.544761028560727,-0.492627930,0.833220255,4.498579035,0.405867023,0.339737627,0.671462092,-0.518641459,generic-solve-712364a40185
50,2.041667,generic_sequence_executor,-1.544761028560727,-0.495898557,0.834691153,4.495056796,0.407226448,0.349810884,0.663324455,-0.521344064,generic-solve-712364a40185
51,2.083333,generic_sequence_executor,-1.544761028560727,-0.498469497,0.834468449,4.495911730,0.414154689,0.356869575,0.658155468,-0.517640203,generic-solve-712364a40185
52,2.125,generic_sequence_executor,-1.544761028560727,-0.499339334,0.835561927,4.490702029,0.414610557,0.362573830,0.653618695,-0.519057709,generic-solve-712364a40185
53,2.166667,generic_sequence_executor,-1.544761028560727,-0.496426820,0.837041892,4.484985520,0.410771824,0.366484963,0.649993095,-0.523893364,generic-solve-712364a40185
54,2.208333,generic_sequence_executor,-1.544761028560727,-0.499922925,0.837793948,4.483878150,0.407693030,0.368896107,0.647713430,-0.527417642,generic-solve-712364a40185
55,2.25,generic_sequence_executor,-1.544761028560727,-0.504134459,0.837107305,4.482164116,0.409762232,0.365607403,0.650905490,-0.524164271,generic-solve-712364a40185
56,2.291667,generic_sequence_executor,-1.544761028560727,-0.508364399,0.837247677,4.477014091,0.408018686,0.361579475,0.654072048,-0.524376573,generic-solve-712364a40185
57,2.333333,generic_sequence_executor,-1.544761028560727,-0.510983056,0.838278944,4.471505408,0.400361306,0.358555010,0.655811127,-0.530151766,generic-solve-712364a40185
58,2.375,generic_sequence_executor,-1.544761028560727,-0.512452877,0.837729927,4.466775937,0.402253327,0.353089923,0.660382883,-0.526701257,generic-solve-712364a40185
59,2.416667,generic_sequence_executor,-1.544761028560727,-0.520486589,0.837325728,4.462607431,0.404135297,0.350646119,0.663298885,-0.523217498,generic-solve-712364a40185
60,2.458333,generic_sequence_executor,-1.544761028560727,-0.523695480,0.836504250,4.456957460,0.407983166,0.347717787,0.666825428,-0.517673571,generic-solve-712364a40185
61,2.5,generic_sequence_executor,-1.544761028560727,-0.523796954,0.837044360,4.442106768,0.410207898,0.344876035,0.669486865,-0.514370818,generic-solve-712364a40185
62,2.541667,generic_sequence_executor,-1.544761028560727,-0.525808763,0.836765743,4.431251565,0.412048457,0.339695363,0.674326083,-0.510007317,generic-solve-712364a40185
63,2.583333,generic_sequence_executor,-1.544761028560727,-0.531344837,0.834785574,4.436244836,0.401175850,0.321168346,0.690893341,-0.508502923,generic-solve-712364a40185
64,2.625,generic_sequence_executor,-1.544761028560727,-0.540581499,0.825893958,4.471236831,0.364430562,0.272929804,0.739670416,-0.495567718,generic-solve-712364a40185
65,2.666667,generic_sequence_executor,-1.5100472975818342,-0.570481343,0.807452060,4.534940878,0.319375908,0.205662240,0.810228476,-0.446353995,generic-solve-712364a40185
66,2.708333,generic_sequence_executor,-1.5100472975818342,-0.573849170,0.796122064,4.576502521,0.288912543,0.167230653,0.847091005,-0.413521801,generic-solve-712364a40185
67,2.75,generic_sequence_executor,-1.5100472975818342,-0.569603622,0.795030651,4.576001750,0.289236082,0.162603192,0.849904305,-0.409347485,generic-solve-712364a40185
68,2.791667,generic_sequence_executor,-1.544761028560727,-0.565062036,0.794691214,4.571343006,0.285382583,0.158455561,0.853525478,-0.406131598,generic-solve-712364a40185
69,2.833333,generic_sequence_executor,-1.544761028560727,-0.559621932,0.794175693,4.568930490,0.275356955,0.152196729,0.859320767,-0.403215231,generic-solve-712364a40185
70,2.875,generic_sequence_executor,-1.544761028560727,-0.554352014,0.794939561,4.563591977,0.277166008,0.152454188,0.857534971,-0.405672895,generic-solve-712364a40185
71,2.916667,generic_sequence_executor,-1.544761028560727,-0.551098043,0.794277691,4.569041970,0.276284849,0.151218312,0.858550382,-0.404587377,generic-solve-712364a40185
72,2.958333,generic_sequence_executor,-1.544761028560727,-0.544286476,0.793825863,4.575230098,0.274492718,0.150318595,0.859068852,-0.405041697,generic-solve-712364a40185
73,3.0,generic_sequence_executor,-1.544761028560727,-0.532286411,0.793642450,4.578453385,0.271424210,0.150001411,0.859230000,-0.406881164,generic-solve-712364a40185
74,3.041667,generic_sequence_executor,-1.544761028560727,-0.518009285,0.798176007,4.557004153,0.274325147,0.160294787,0.850092028,-0.419993854,generic-solve-712364a40185
75,3.083333,generic_sequence_executor,-1.544761028560727,-0.492948052,0.815185092,4.506531783,0.304517555,0.212267318,0.796508192,-0.477269677,generic-solve-712364a40185
76,3.125,generic_sequence_executor,-1.544761028560727,-0.463190096,0.829903557,4.459114678,0.359629147,0.281882396,0.727042331,-0.512463307,generic-solve-712364a40185
77,3.166667,generic_sequence_executor,-1.544761028560727,-0.443054518,0.835894648,4.441805543,0.390440149,0.327188446,0.686337452,-0.519081027,generic-solve-712364a40185
