frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,14025,,,,16109,,,0,0,0
2,14036,,,,16015,,,0,0,0
3,13804,,,,15879,,,0,0,0
4,13788,,,,15842,,,0,0,0
5,13714,,,,15835,,,0,0,0
6,13497,,,,15586,,,0,0,0
7,13372,,,,15381,,,0,0,0
8,13374,,,,15381,,,0,0,0
9,13161,,,,15294,,,0,0,0
10,12944,,,,15017,,,0,0,0
11,13307,,,,15376,,,0,0,0
12,13589,,,,15537,,,0,0,0
13,13493,,,,15604,,,0,0,0
14,13701,,,,15905,,,0,0,0
15,13930,,,,16087,,,0,0,0
16,14083,,,,16282,,,0,0,0
17,14233,,,,16370,,,0,0,0
18,14201,,,,16428,,,0,0,0
19,14395,,,,16651,,,0,0,0
20,14310,,,,16496,,,0,0,0
21,14348,,,,16546,,,0,0,0
22,14443,,,,16605,,,0,0,0
23,14413,,,,16640,,,0,0,0
24,14547,,,,16803,,,0,0,0
25,14795,,,,16921,,,0,0,0
26,14976,,,,17203,,,0,0,0
27,15242,,,,17356,,,0,0,0
28,15395,,,,17676,,,0,0,0
29,15377,,,,17434,,,0,0,0
30,15302,,,,17310,,,0,0,0
31,15333,,,,17362,,,0,0,0
32,15368,,,,17439,,,0,0,0
33,15284,,,,17355,,,0,0,0
34,15160,,,,17186,,,0,0,0
35,15153,,,,17306,,,0,0,0
36,14967,,,,17117,,,0,0,0
37,14404,,,,16457,,,0,0,0
38,13755,,,,15604,,,0,0,0
39,13149,,,,14886,,,0,0,0
40,12946,,,,14592,,,0,0,0
41,12711,,,,14373,,,0,0,0
42,12533,,,,14095,,,0,0,0
43,12506,,,,14029,,,0,0,0
44,12689,,,,14225,,,0,0,0
45,12797,,,,14363,,,0,0,0
46,12843,,,,14466,,,0,0,0
47,12897,,,,14505,,,0,0,0
48,12841,,,,14493,,,0,0,0
49,12988,,,,14531,,,0,0,0
50,12939,,,,14491,,,0,0,0
51,13013,,,,14626,,,0,0,0
52,13006,,,,14583,,,0,0,0
53,12941,,,,14505,,,0,0,0
54,12983,,,,14562,,,0,0,0
55,13236,,,,14791,,,0,0,0
56,13035,,,,14595,,,0,0,0
57,13171,,,,14758,,,0,0,0
58,13193,,,,14792,,,0,0,0
59,13243,,,,14803,,,0,0,0
60,13227,,,,14793,,,0,0,0
61,13289,,,,14891,,,0,0,0
62,13462,,,,15093,,,0,0,0
63,13431,,,,15076,,,0,0,0
64,13423,,,,15120,,,0,0,0
65,13439,,,,15104,,,0,0,0
66,13557,,,,15166,,,0,0,0
67,13481,,,,15209,,,0,0,0
68,13577,,,,15227,,,0,0,0
69,13589,,,,15347,,,0,0,0
70,13436,,,,15101,,,0,0,0
71,13261,,,,15040,,,0,0,0
72,13292,,,,14944,,,0,0,0
73,13276,,,,14958,,,0,0,0
74,13122,,,,14785,,,0,0,0
75,13083,,,,14779,,,0,0,0
76,13174,,,,14849,,,0,0,0
77,13177,,,,14870,,,0,0,0
78,13466,,,,15197,,,0,0,0
79,13824,,,,15590,,,0,0,0
80,14244,,,,15972,,,0,0,0
81,14409,,,,16201,,,0,0,0
82,14627,,,,16420,,,0,0,0
83,14733,,,,16566,,,0,0,0
84,14887,,,,16692,,,0,0,0
85,14858,,,,16662,,,0,0,0
86,14859,,,,16609,,,0,0,0
87,14911,,,,16701,,,0,0,0
88,14959,,,,16788,,,0,0,0
89,15142,,,,17169,,,0,0,0
