frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,14077,,,,16117,,,0,0,0
2,14056,,,,16044,,,0,0,0
3,13794,,,,15857,,,0,0,0
4,13770,,,,15834,,,0,0,0
5,13788,,,,15850,,,0,0,0
6,13460,,,,15544,,,0,0,0
7,13334,,,,15449,,,0,0,0
8,13361,,,,15406,,,0,0,0
9,13168,,,,15268,,,0,0,0
10,12932,,,,15016,,,0,0,0
11,13298,,,,15357,,,0,0,0
12,13408,,,,15459,,,0,0,0
13,13560,,,,15597,,,0,0,0
14,13740,,,,15762,,,0,0,0
15,13761,,,,15850,,,0,0,0
16,13753,,,,15834,,,0,0,0
17,13773,,,,15921,,,0,0,0
18,13830,,,,15987,,,0,0,0
19,13930,,,,15904,,,0,0,0
20,13882,,,,15953,,,0,0,0
21,13754,,,,15907,,,0,0,0
22,13899,,,,15987,,,0,0,0
23,13974,,,,16044,,,0,0,0
24,14099,,,,16183,,,0,0,0
25,14013,,,,16148,,,0,0,0
26,14109,,,,16245,,,0,0,0
27,14267,,,,16505,,,0,0,0
28,14525,,,,16675,,,0,0,0
29,14722,,,,16957,,,0,0,0
30,14993,,,,17232,,,0,0,0
31,15176,,,,17125,,,0,0,0
32,15311,,,,17283,,,0,0,0
33,15373,,,,17591,,,0,0,0
34,15260,,,,17563,,,0,0,0
35,15227,,,,17291,,,0,0,0
36,14842,,,,16893,,,0,0,0
37,14404,,,,16292,,,0,0,0
38,13533,,,,15407,,,0,0,0
39,13054,,,,14759,,,0,0,0
40,12845,,,,14460,,,0,0,0
41,12508,,,,14132,,,0,0,0
42,12321,,,,13945,,,0,0,0
43,12472,,,,14022,,,0,0,0
44,12707,,,,14228,,,0,0,0
45,12799,,,,14365,,,0,0,0
46,12845,,,,14468,,,0,0,0
47,12893,,,,14502,,,0,0,0
48,12841,,,,14491,,,0,0,0
49,12991,,,,14536,,,0,0,0
50,12937,,,,14489,,,0,0,0
51,13006,,,,14616,,,0,0,0
52,13041,,,,14579,,,0,0,0
53,12945,,,,14509,,,0,0,0
54,12984,,,,14562,,,0,0,0
55,13236,,,,14791,,,0,0,0
56,13035,,,,14595,,,0,0,0
57,13171,,,,14758,,,0,0,0
58,13193,,,,14792,,,0,0,0
59,13243,,,,14803,,,0,0,0
60,13228,,,,14793,,,0,0,0
61,13289,,,,14891,,,0,0,0
62,13462,,,,15093,,,0,0,0
63,13431,,,,15076,,,0,0,0
64,13423,,,,15120,,,0,0,0
65,13439,,,,15104,,,0,0,0
66,13557,,,,15166,,,0,0,0
67,13471,,,,15201,,,0,0,0
68,13578,,,,15225,,,0,0,0
69,13589,,,,15347,,,0,0,0
70,13491,,,,15156,,,0,0,0
71,13261,,,,15040,,,0,0,0
72,13292,,,,14944,,,0,0,0
73,13273,,,,14954,,,0,0,0
74,13119,,,,14781,,,0,0,0
75,13063,,,,14765,,,0,0,0
76,13157,,,,14868,,,0,0,0
77,13274,,,,14937,,,0,0,0
78,13578,,,,15302,,,0,0,0
79,13820,,,,15592,,,0,0,0
80,14275,,,,15992,,,0,0,0
81,14380,,,,16152,,,0,0,0
82,14710,,,,16509,,,0,0,0
83,14799,,,,16601,,,0,0,0
84,14821,,,,16662,,,0,0,0
85,14854,,,,16659,,,0,0,0
86,14935,,,,16698,,,0,0,0
87,14856,,,,16677,,,0,0,0
88,14978,,,,16833,,,0,0,0
89,15211,,,,17283,,,0,0,0
90,15513,,,,17443,,,0,0,0
91,15678,,,,17559,,,0,0,0
92,15429,,,,17321,,,0,0,0
93,15175,,,,17084,,,0,0,0
94,14967,,,,16739,,,0,0,0
95,14547,,,,16365,,,0,0,0
96,14349,,,,16170,,,0,0,0
97,14244,,,,15975,,,0,0,0
98,14400,,,,16109,,,0,0,0
99,14363,,,,16137,,,0,0,0
100,14650,,,,16407,,,0,0,0
101,14923,,,,16705,,,0,0,0
102,15062,,,,16900,,,0,0,0
103,15382,,,,17144,,,0,0,0
104,15745,,,,17637,,,0,0,0
105,16076,,,,17934,,,0,0,0
106,16456,,,,18161,,,0,0,0
107,16584,,,,18351,,,0,0,0
108,16595,,,,18415,,,0,0,0
109,16599,,,,18363,,,0,0,0
110,16760,,,,18526,,,0,0,0
111,16619,,,,18277,,,0,0,0
112,16551,,,,18302,,,0,0,0
113,16626,,,,18437,,,0,0,0
114,16662,,,,18459,,,0,0,0
115,16603,,,,18438,,,0,0,0
116,16473,,,,18357,,,0,0,0
117,16266,,,,18064,,,0,0,0
118,16151,,,,17888,,,0,0,0
119,16013,,,,17731,,,0,0,0
120,16221,,,,17927,,,0,0,0
121,16084,,,,17802,,,0,0,0
122,15957,,,,17639,,,0,0,0
123,16068,,,,17861,,,0,0,0
124,15915,,,,17721,,,0,0,0
125,15446,,,,17182,,,0,0,0
126,14473,,,,16197,,,0,0,0
127,13784,,,,15400,,,0,0,0
128,14094,,,,15692,,,0,0,0
129,14913,,,,16525,,,0,0,0
130,15175,,,,16860,,,0,0,0
131,14807,,,,16476,,,0,0,0
132,14148,,,,15774,,,0,0,0
133,13829,,,,15568,,,0,0,0
134,13095,,,,14893,,,0,0,0
135,12539,,,,14359,,,0,0,0
136,11848,,,,13597,,,0,0,0
137,12002,,,,13643,,,0,0,0
138,12066,,,,13580,,,0,0,0
139,12273,,,,13700,,,0,0,0
140,12173,,,,13470,,,0,0,0
141,11979,,,,13284,,,0,0,0
142,11615,,,,12951,,,0,0,0
143,11324,,,,12691,,,0,0,0
144,11159,,,,12549,,,0,0,0
145,11122,,,,12443,,,0,0,0
146,10993,,,,12328,,,0,0,0
147,11022,,,,12414,,,0,0,0
148,11189,,,,12587,,,0,0,0
149,11321,,,,12777,,,0,0,0
150,11461,,,,12925,,,0,0,0
151,11276,,,,12883,,,0,0,0
152,11149,,,,13020,,,0,0,0
153,11485,,,,13341,,,0,0,0
154,12309,,,,14249,,,0,0,0
155,13011,,,,14937,,,0,0,0
156,13020,,,,15049,,,0,0,0
157,12715,,,,14800,,,0,0,0
158,12392,,,,14464,,,0,0,0
159,11885,,,,14002,,,0,0,0
160,11796,,,,13838,,,0,0,0
161,11913,,,,14040,,,0,0,0
162,11875,,,,13977,,,0,0,0
163,11840,,,,13935,,,0,0,0
164,11611,,,,13701,,,0,0,0
165,11507,,,,13595,,,0,0,0
166,11371,,,,13462,,,0,0,0
167,11337,,,,13371,,,0,0,0
168,11248,,,,13369,,,0,0,0
169,11378,,,,13519,,,0,0,0
170,11636,,,,13653,,,0,0,0
171,11784,,,,13851,,,0,0,0
172,11888,,,,13889,,,0,0,0
173,11950,,,,14005,,,0,0,0
174,12007,,,,14061,,,0,0,0
175,12095,,,,14165,,,0,0,0
176,12388,,,,14381,,,0,0,0
177,12321,,,,14352,,,0,0,0
178,12252,,,,14277,,,0,0,0
179,12358,,,,14348,,,0,0,0
180,12426,,,,14347,,,0,0,0
181,12351,,,,14362,,,0,0,0
182,12268,,,,14271,,,0,0,0
183,12276,,,,14316,,,0,0,0
184,12218,,,,14246,,,0,0,0
185,12279,,,,14328,,,0,0,0
186,12287,,,,14352,,,0,0,0
187,12288,,,,14357,,,0,0,0
188,12273,,,,14342,,,0,0,0
189,12276,,,,14349,,,0,0,0
190,12275,,,,14347,,,0,0,0
191,12339,,,,14422,,,0,0,0
192,12339,,,,14420,,,0,0,0
193,12339,,,,14417,,,0,0,0
194,12339,,,,14415,,,0,0,0
195,12339,,,,14413,,,0,0,0
196,12275,,,,14338,,,0,0,0
197,12276,,,,14343,,,0,0,0
198,12273,,,,14332,,,0,0,0
199,12291,,,,14356,,,0,0,0
200,12289,,,,14354,,,0,0,0
201,12289,,,,14353,,,0,0,0
202,12289,,,,14354,,,0,0,0
203,12291,,,,14353,,,0,0,0
204,12291,,,,14354,,,0,0,0
205,12291,,,,14351,,,0,0,0
206,12291,,,,14353,,,0,0,0
207,12291,,,,14351,,,0,0,0
208,12289,,,,14349,,,0,0,0
209,12288,,,,14348,,,0,0,0
210,12290,,,,14344,,,0,0,0
211,12258,,,,14311,,,0,0,0
212,12263,,,,14264,,,0,0,0
213,12228,,,,14247,,,0,0,0
214,12267,,,,14246,,,0,0,0
215,12271,,,,14252,,,0,0,0
216,12206,,,,14205,,,0,0,0
217,12014,,,,14112,,,0,0,0
218,11914,,,,13958,,,0,0,0
219,11913,,,,13958,,,0,0,0
220,11904,,,,13988,,,0,0,0
221,12317,,,,14436,,,0,0,0
222,12195,,,,14357,,,0,0,0
223,12569,,,,14641,,,0,0,0
224,12919,,,,15009,,,0,0,0
225,13080,,,,15177,,,0,0,0
226,13057,,,,15245,,,0,0,0
227,13080,,,,15127,,,0,0,0
228,13180,,,,15295,,,0,0,0
229,13245,,,,15341,,,0,0,0
230,13093,,,,15233,,,0,0,0
231,13133,,,,15255,,,0,0,0
232,13304,,,,15374,,,0,0,0
233,13182,,,,15362,,,0,0,0
234,13140,,,,15341,,,0,0,0
235,13184,,,,15290,,,0,0,0
236,13200,,,,15334,,,0,0,0
237,13262,,,,15418,,,0,0,0
238,13303,,,,15435,,,0,0,0
239,12920,,,,15132,,,0,0,0
240,13110,,,,15270,,,0,0,0
