frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,24743,,,,24277,,,0,0,0
2,24728,,,,24346,,,0,0,0
3,24586,,,,24414,,,0,0,0
4,24466,,,,24194,,,0,0,0
5,24378,,,,24158,,,0,0,0
6,24102,,,,23985,,,0,0,0
7,23583,,,,23440,,,0,0,0
8,22939,,,,22752,,,0,0,0
9,22457,,,,22409,,,0,0,0
10,22531,,,,22509,,,0,0,0
11,23066,,,,22838,,,0,0,0
12,23617,,,,23251,,,0,0,0
13,23968,,,,23352,,,0,0,0
14,24224,,,,23234,,,0,0,0
15,24307,,,,22814,,,0,0,0
16,24387,,,,22481,,,0,0,0
17,24363,,,,21721,,,0,0,0
18,24443,,,,21697,,,0,0,0
19,24531,,,,21940,,,0,0,0
20,24489,,,,21941,,,0,0,0
21,24532,,,,21816,,,0,0,0
22,24650,,,,21914,,,0,0,0
23,24685,,,,21957,,,0,0,0
24,24859,,,,22320,,,0,0,0
25,24887,,,,22463,,,0,0,0
26,24981,,,,22539,,,0,0,0
27,25115,,,,22508,,,0,0,0
28,25326,,,,22679,,,0,0,0
29,25706,,,,22765,,,0,0,0
30,26075,,,,23215,,,0,0,0
31,26295,,,,23390,,,0,0,0
32,26219,,,,23355,,,0,0,0
33,25967,,,,23344,,,0,0,0
34,25603,,,,23419,,,0,0,0
35,24939,,,,22750,,,0,0,0
36,24126,,,,22136,,,0,0,0
37,23260,,,,21358,,,0,0,0
38,22256,,,,20370,,,0,0,0
39,21380,,,,19652,,,0,0,0
40,21143,,,,19661,,,0,0,0
41,20942,,,,19906,,,0,0,0
42,20612,,,,19874,,,0,0,0
43,20536,,,,19979,,,0,0,0
44,20928,,,,20641,,,0,0,0
45,20999,,,,20760,,,0,0,0
46,21009,,,,20897,,,0,0,0
47,21179,,,,21061,,,0,0,0
48,21298,,,,21204,,,0,0,0
49,21393,,,,21273,,,0,0,0
50,21405,,,,21324,,,0,0,0
51,21515,,,,21330,,,0,0,0
52,21549,,,,21289,,,0,0,0
53,21535,,,,21143,,,0,0,0
54,21635,,,,21234,,,0,0,0
55,21818,,,,21257,,,0,0,0
56,21901,,,,21361,,,0,0,0
57,21943,,,,21365,,,0,0,0
58,21910,,,,21358,,,0,0,0
59,22037,,,,21467,,,0,0,0
60,22168,,,,21540,,,0,0,0
61,22234,,,,21769,,,0,0,0
62,22183,,,,21952,,,0,0,0
63,22280,,,,22020,,,0,0,0
64,22289,,,,22268,,,0,0,0
65,22219,,,,22277,,,0,0,0
66,22286,,,,22439,,,0,0,0
67,22272,,,,22471,,,0,0,0
68,22318,,,,22540,,,0,0,0
69,22075,,,,22216,,,0,0,0
70,21992,,,,22195,,,0,0,0
71,21899,,,,22069,,,0,0,0
72,21733,,,,21943,,,0,0,0
73,21721,,,,21951,,,0,0,0
74,21700,,,,21969,,,0,0,0
75,21668,,,,21903,,,0,0,0
76,21921,,,,22147,,,0,0,0
77,21938,,,,22192,,,0,0,0
78,22324,,,,22583,,,0,0,0
79,22623,,,,22798,,,0,0,0
80,23071,,,,23322,,,0,0,0
81,23331,,,,23447,,,0,0,0
82,23696,,,,23827,,,0,0,0
83,24043,,,,24149,,,0,0,0
84,24397,,,,24502,,,0,0,0
85,24501,,,,24600,,,0,0,0
86,24503,,,,24600,,,0,0,0
87,24558,,,,24597,,,0,0,0
88,24612,,,,24553,,,0,0,0
89,24628,,,,24398,,,0,0,0
90,24879,,,,24696,,,0,0,0
91,25105,,,,25014,,,0,0,0
92,24924,,,,24880,,,0,0,0
93,24601,,,,24622,,,0,0,0
94,24513,,,,24648,,,0,0,0
95,24201,,,,24395,,,0,0,0
96,24068,,,,24221,,,0,0,0
97,23978,,,,23902,,,0,0,0
98,23987,,,,23895,,,0,0,0
99,24217,,,,24191,,,0,0,0
100,24587,,,,24678,,,0,0,0
101,24871,,,,24968,,,0,0,0
102,25086,,,,25073,,,0,0,0
103,25308,,,,25166,,,0,0,0
104,25674,,,,25384,,,0,0,0
105,26147,,,,25442,,,0,0,0
106,26585,,,,25865,,,0,0,0
107,26950,,,,25936,,,0,0,0
108,27049,,,,25653,,,0,0,0
109,27126,,,,25353,,,0,0,0
110,27237,,,,25464,,,0,0,0
111,27551,,,,25200,,,0,0,0
112,27836,,,,24818,,,0,0,0
113,27949,,,,24590,,,0,0,0
114,28200,,,,24378,,,0,0,0
115,28417,,,,24103,,,0,0,0
116,28124,,,,24200,,,0,0,0
117,28146,,,,25306,,,0,0,0
118,28279,,,,27347,,,0,0,0
119,28533,,,,28375,,,0,0,0
120,28834,,,,28940,,,0,0,0
121,29046,,,,29186,,,0,0,0
122,29177,,,,29360,,,0,0,0
123,29167,,,,29453,,,0,0,0
124,29001,,,,29283,,,0,0,0
125,28353,,,,28495,,,0,0,0
126,27137,,,,27063,,,0,0,0
127,25966,,,,25771,,,0,0,0
128,27320,,,,26304,,,0,0,0
129,28347,,,,25869,,,0,0,0
130,28412,,,,25076,,,0,0,0
131,28217,,,,24214,,,0,0,0
132,27577,,,,23610,,,0,0,0
133,26593,,,,23365,,,0,0,0
134,25523,,,,22528,,,0,0,0
135,24391,,,,21483,,,0,0,0
136,23281,,,,20567,,,0,0,0
137,22334,,,,20438,,,0,0,0
138,21718,,,,20293,,,0,0,0
139,21091,,,,20655,,,0,0,0
140,20218,,,,19982,,,0,0,0
141,19141,,,,19269,,,0,0,0
142,18248,,,,18341,,,0,0,0
143,17679,,,,17782,,,0,0,0
144,17545,,,,17810,,,0,0,0
145,17369,,,,17605,,,0,0,0
146,17418,,,,17707,,,0,0,0
147,17470,,,,17689,,,0,0,0
148,18041,,,,17890,,,0,0,0
149,18579,,,,17404,,,0,0,0
150,19319,,,,17518,,,0,0,0
151,20109,,,,18194,,,0,0,0
152,20941,,,,19406,,,0,0,0
153,21842,,,,20343,,,0,0,0
154,22593,,,,20771,,,0,0,0
155,22869,,,,20754,,,0,0,0
156,22714,,,,20230,,,0,0,0
157,22156,,,,20441,,,0,0,0
158,21605,,,,19654,,,0,0,0
159,21239,,,,18963,,,0,0,0
160,21045,,,,18835,,,0,0,0
161,20874,,,,18588,,,0,0,0
162,20726,,,,18275,,,0,0,0
163,20256,,,,18025,,,0,0,0
164,19834,,,,17587,,,0,0,0
165,19523,,,,17308,,,0,0,0
166,19393,,,,17233,,,0,0,0
167,19387,,,,17445,,,0,0,0
168,19444,,,,17777,,,0,0,0
169,19696,,,,18366,,,0,0,0
170,20253,,,,18568,,,0,0,0
171,20774,,,,18744,,,0,0,0
172,21137,,,,18935,,,0,0,0
173,21416,,,,19360,,,0,0,0
174,21534,,,,20033,,,0,0,0
175,21654,,,,20051,,,0,0,0
176,21839,,,,20215,,,0,0,0
177,21979,,,,20562,,,0,0,0
178,21851,,,,20487,,,0,0,0
179,21815,,,,20474,,,0,0,0
180,21790,,,,20386,,,0,0,0
181,21815,,,,20355,,,0,0,0
182,21850,,,,20324,,,0,0,0
183,22054,,,,20509,,,0,0,0
184,21806,,,,20306,,,0,0,0
