frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,24741,,,,32878,,,0,0,0
2,24727,,,,32851,,,0,0,0
3,24587,,,,32849,,,0,0,0
4,24510,,,,32913,,,0,0,0
5,24364,,,,33072,,,0,0,0
6,24029,,,,33251,,,0,0,0
7,23540,,,,32978,,,0,0,0
8,22931,,,,32495,,,0,0,0
9,22476,,,,32199,,,0,0,0
10,22489,,,,32124,,,0,0,0
11,23062,,,,32339,,,0,0,0
12,23745,,,,32945,,,0,0,0
13,24096,,,,33352,,,0,0,0
14,24435,,,,33299,,,0,0,0
15,24578,,,,33042,,,0,0,0
16,24681,,,,33000,,,0,0,0
17,24885,,,,32523,,,0,0,0
18,25106,,,,32740,,,0,0,0
19,25057,,,,32720,,,0,0,0
20,25069,,,,32550,,,0,0,0
21,25174,,,,32527,,,0,0,0
22,25176,,,,32557,,,0,0,0
23,25173,,,,32609,,,0,0,0
24,25391,,,,32877,,,0,0,0
25,25816,,,,33185,,,0,0,0
26,25996,,,,33549,,,0,0,0
27,26142,,,,33699,,,0,0,0
28,26072,,,,33961,,,0,0,0
29,25943,,,,33732,,,0,0,0
30,25862,,,,33534,,,0,0,0
31,25768,,,,32749,,,0,0,0
32,25760,,,,31975,,,0,0,0
33,25807,,,,32405,,,0,0,0
34,25775,,,,33676,,,0,0,0
35,25567,,,,33583,,,0,0,0
36,25082,,,,33135,,,0,0,0
37,24057,,,,32063,,,0,0,0
38,22634,,,,30715,,,0,0,0
39,21662,,,,29889,,,0,0,0
40,21234,,,,29722,,,0,0,0
41,20892,,,,29924,,,0,0,0
42,20640,,,,29984,,,0,0,0
43,20541,,,,30153,,,0,0,0
44,20957,,,,30941,,,0,0,0
45,20990,,,,31028,,,0,0,0
46,21010,,,,31216,,,0,0,0
47,21178,,,,31417,,,0,0,0
48,21297,,,,31608,,,0,0,0
49,21392,,,,31711,,,0,0,0
50,21405,,,,31801,,,0,0,0
51,21514,,,,31818,,,0,0,0
52,21549,,,,31771,,,0,0,0
53,21535,,,,31650,,,0,0,0
54,21635,,,,31709,,,0,0,0
55,21818,,,,31792,,,0,0,0
56,21901,,,,31774,,,0,0,0
57,21943,,,,31635,,,0,0,0
58,21910,,,,31644,,,0,0,0
59,22037,,,,31717,,,0,0,0
60,22168,,,,31807,,,0,0,0
61,22234,,,,32160,,,0,0,0
62,22183,,,,32417,,,0,0,0
63,22280,,,,32492,,,0,0,0
64,22289,,,,32742,,,0,0,0
65,22219,,,,32741,,,0,0,0
66,22286,,,,32895,,,0,0,0
67,22272,,,,32882,,,0,0,0
68,22318,,,,32911,,,0,0,0
69,22062,,,,32547,,,0,0,0
70,21992,,,,32480,,,0,0,0
71,21899,,,,32309,,,0,0,0
72,21733,,,,32156,,,0,0,0
73,21721,,,,32134,,,0,0,0
74,21700,,,,32104,,,0,0,0
75,21668,,,,31990,,,0,0,0
76,21957,,,,32313,,,0,0,0
77,21944,,,,32297,,,0,0,0
78,22316,,,,32673,,,0,0,0
79,22630,,,,32836,,,0,0,0
80,23004,,,,33305,,,0,0,0
81,23364,,,,33456,,,0,0,0
82,23660,,,,33772,,,0,0,0
83,24006,,,,34147,,,0,0,0
84,24348,,,,34477,,,0,0,0
85,24407,,,,34610,,,0,0,0
86,24471,,,,34685,,,0,0,0
87,24528,,,,34690,,,0,0,0
88,24563,,,,34732,,,0,0,0
89,24534,,,,34560,,,0,0,0
90,24873,,,,35004,,,0,0,0
91,25105,,,,35391,,,0,0,0
92,24920,,,,35199,,,0,0,0
93,24589,,,,34978,,,0,0,0
94,24520,,,,34994,,,0,0,0
95,24205,,,,34703,,,0,0,0
96,24084,,,,34491,,,0,0,0
97,23978,,,,34074,,,0,0,0
98,23987,,,,34011,,,0,0,0
99,24217,,,,34293,,,0,0,0
100,24587,,,,34733,,,0,0,0
101,24870,,,,35011,,,0,0,0
102,25086,,,,35119,,,0,0,0
103,25308,,,,35225,,,0,0,0
104,25674,,,,35411,,,0,0,0
105,26147,,,,35448,,,0,0,0
106,26585,,,,35849,,,0,0,0
107,26950,,,,35860,,,0,0,0
108,27049,,,,35462,,,0,0,0
109,27126,,,,34945,,,0,0,0
110,27237,,,,34838,,,0,0,0
111,27551,,,,34422,,,0,0,0
112,27836,,,,33993,,,0,0,0
113,27949,,,,33659,,,0,0,0
114,28200,,,,33283,,,0,0,0
115,28417,,,,32923,,,0,0,0
116,28122,,,,32694,,,0,0,0
117,28145,,,,33459,,,0,0,0
118,28279,,,,35211,,,0,0,0
119,28535,,,,36200,,,0,0,0
120,28834,,,,36611,,,0,0,0
121,29046,,,,36783,,,0,0,0
122,29177,,,,36997,,,0,0,0
123,29167,,,,37575,,,0,0,0
124,29001,,,,37683,,,0,0,0
125,28345,,,,37024,,,0,0,0
126,27137,,,,35628,,,0,0,0
127,25964,,,,34362,,,0,0,0
128,27326,,,,35341,,,0,0,0
129,28347,,,,35208,,,0,0,0
130,28412,,,,34400,,,0,0,0
131,28217,,,,33597,,,0,0,0
132,27575,,,,32999,,,0,0,0
133,26593,,,,32783,,,0,0,0
134,25523,,,,31983,,,0,0,0
135,24391,,,,30986,,,0,0,0
136,23281,,,,30110,,,0,0,0
137,22334,,,,29981,,,0,0,0
138,21718,,,,29867,,,0,0,0
139,21091,,,,30228,,,0,0,0
140,20218,,,,29583,,,0,0,0
141,19125,,,,28889,,,0,0,0
142,18251,,,,27985,,,0,0,0
143,17679,,,,27461,,,0,0,0
144,17545,,,,27489,,,0,0,0
145,17375,,,,27296,,,0,0,0
146,17297,,,,27300,,,0,0,0
147,17384,,,,27299,,,0,0,0
148,17874,,,,27429,,,0,0,0
149,18429,,,,27044,,,0,0,0
150,19241,,,,27284,,,0,0,0
151,19984,,,,27838,,,0,0,0
152,20884,,,,29116,,,0,0,0
153,21748,,,,29332,,,0,0,0
154,22443,,,,29520,,,0,0,0
155,22856,,,,29756,,,0,0,0
156,22711,,,,29060,,,0,0,0
157,22225,,,,29149,,,0,0,0
158,21592,,,,28567,,,0,0,0
159,21341,,,,27815,,,0,0,0
160,21129,,,,27266,,,0,0,0
161,20927,,,,26625,,,0,0,0
162,20720,,,,26312,,,0,0,0
163,20231,,,,25952,,,0,0,0
164,19848,,,,25757,,,0,0,0
165,18524,,,,25240,,,0,0,0
166,18475,,,,25186,,,0,0,0
167,18465,,,,25392,,,0,0,0
168,18504,,,,25547,,,0,0,0
169,18792,,,,26032,,,0,0,0
170,19325,,,,26296,,,0,0,0
171,19733,,,,26506,,,0,0,0
172,20167,,,,26780,,,0,0,0
173,20427,,,,27383,,,0,0,0
174,20513,,,,27883,,,0,0,0
175,20711,,,,28192,,,0,0,0
176,20741,,,,28356,,,0,0,0
177,20891,,,,28574,,,0,0,0
178,20719,,,,28605,,,0,0,0
179,20738,,,,28534,,,0,0,0
180,20853,,,,28712,,,0,0,0
181,20857,,,,28589,,,0,0,0
182,20862,,,,28592,,,0,0,0
183,20999,,,,28731,,,0,0,0
184,20950,,,,28599,,,0,0,0
185,21084,,,,28817,,,0,0,0
186,21141,,,,28844,,,0,0,0
187,21242,,,,28900,,,0,0,0
188,21309,,,,28980,,,0,0,0
189,21275,,,,28961,,,0,0,0
190,21274,,,,28932,,,0,0,0
191,21281,,,,28951,,,0,0,0
192,21340,,,,28976,,,0,0,0
193,21427,,,,29111,,,0,0,0
194,21461,,,,29137,,,0,0,0
195,21460,,,,29127,,,0,0,0
196,21526,,,,29249,,,0,0,0
197,21615,,,,29295,,,0,0,0
198,21607,,,,29332,,,0,0,0
199,21613,,,,29353,,,0,0,0
200,21729,,,,29511,,,0,0,0
201,21698,,,,29432,,,0,0,0
202,21702,,,,29443,,,0,0,0
203,21692,,,,29388,,,0,0,0
204,21733,,,,29467,,,0,0,0
205,21743,,,,29517,,,0,0,0
206,21759,,,,29517,,,0,0,0
207,21759,,,,29543,,,0,0,0
208,21759,,,,29559,,,0,0,0
209,21759,,,,29607,,,0,0,0
210,21710,,,,29529,,,0,0,0
211,21701,,,,29468,,,0,0,0
212,21701,,,,29558,,,0,0,0
213,21699,,,,29563,,,0,0,0
214,21699,,,,29596,,,0,0,0
215,21699,,,,29620,,,0,0,0
216,21712,,,,29668,,,0,0,0
217,21711,,,,29767,,,0,0,0
218,21623,,,,29725,,,0,0,0
219,21623,,,,29709,,,0,0,0
220,21628,,,,29749,,,0,0,0
221,21714,,,,29861,,,0,0,0
222,21665,,,,29864,,,0,0,0
223,21528,,,,29657,,,0,0,0
224,21216,,,,29306,,,0,0,0
225,20758,,,,28654,,,0,0,0
226,19971,,,,27788,,,0,0,0
227,19381,,,,27691,,,0,0,0
228,19535,,,,28224,,,0,0,0
229,19910,,,,28714,,,0,0,0
230,20202,,,,29365,,,0,0,0
231,20350,,,,29749,,,0,0,0
232,20692,,,,30069,,,0,0,0
233,20760,,,,30294,,,0,0,0
234,20791,,,,30274,,,0,0,0
235,20803,,,,30099,,,0,0,0
236,20829,,,,30030,,,0,0,0
237,20744,,,,30063,,,0,0,0
238,20708,,,,29980,,,0,0,0
239,20698,,,,30079,,,0,0,0
240,20373,,,,29816,,,0,0,0
