frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,24741,34277,2235,0.090336,415,415,1.000000,1,1,0
2,24727,31523,1164,0.047074,67,67,1.000000,1,1,0
3,24587,30469,1386,0.056371,171,171,1.000000,1,1,0
4,24510,32606,769,0.031375,130,130,1.000000,1,1,0
5,24364,35027,1475,0.060540,134,134,1.000000,1,1,0
6,24029,32770,1483,0.061717,192,192,1.000000,1,1,0
7,23540,33041,1339,0.056882,253,253,1.000000,1,1,0
8,22931,31821,662,0.028869,99,99,1.000000,1,1,0
9,22476,32482,428,0.019043,45,45,1.000000,1,1,0
10,22489,32954,389,0.017297,19,19,1.000000,1,1,0
11,23062,31309,364,0.015784,18,18,1.000000,1,1,0
12,23745,30798,383,0.016130,29,29,1.000000,1,1,0
13,24096,32460,1043,0.043285,26,26,1.000000,1,1,0
14,24435,31636,439,0.017966,101,101,1.000000,1,1,0
15,24578,29037,817,0.033241,219,219,1.000000,1,1,0
16,24681,29108,823,0.033345,202,202,1.000000,1,1,0
17,24885,30900,1241,0.049869,352,352,1.000000,1,1,0
18,25106,28297,929,0.037003,204,204,1.000000,1,1,0
19,25057,30053,1153,0.046015,288,288,1.000000,1,1,0
20,25069,28495,1340,0.053452,346,346,1.000000,1,1,0
21,25174,33665,2074,0.082387,568,568,1.000000,1,1,0
22,25176,30486,1629,0.064704,421,421,1.000000,1,1,0
23,25173,30487,1254,0.049815,289,289,1.000000,1,1,0
24,25391,29233,1072,0.042220,265,265,1.000000,1,1,0
25,25816,34018,1931,0.074799,523,523,1.000000,1,1,0
26,25996,32509,1347,0.051816,416,416,1.000000,1,1,0
27,26142,30266,1963,0.075090,619,619,1.000000,1,1,0
28,26072,30473,1907,0.073144,595,595,1.000000,1,1,0
29,25943,29937,1977,0.076206,589,589,1.000000,1,1,0
30,25862,29656,1765,0.068247,504,504,1.000000,1,1,0
31,25768,30606,1422,0.055185,387,387,1.000000,1,1,0
32,25760,31669,626,0.024301,17,17,1.000000,1,1,0
33,25807,31723,1275,0.049405,212,212,1.000000,1,1,0
34,25775,31457,237,0.009195,0,0,,1,1,0
35,25567,31834,911,0.035632,239,239,1.000000,1,1,0
36,25082,32239,1681,0.067020,225,225,1.000000,1,1,0
37,24057,33072,2048,0.085131,244,244,1.000000,1,1,0
38,22634,33259,1457,0.064372,107,107,1.000000,1,1,0
39,21662,36783,2907,0.134198,343,343,1.000000,1,1,0
40,21234,37538,4235,0.199444,577,577,1.000000,1,1,0
41,20892,35435,3871,0.185286,435,435,1.000000,1,1,0
42,20640,36213,3243,0.157122,451,451,1.000000,1,1,0
43,20541,39043,4753,0.231391,709,709,1.000000,1,1,0
44,20957,35422,4129,0.197022,695,695,1.000000,1,1,0
45,20990,38527,5704,0.271748,891,891,1.000000,1,1,0
46,21010,38148,4607,0.219277,825,825,1.000000,1,1,0
