frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,24741,,,,24280,,,0,0,0
2,24727,,,,24346,,,0,0,0
3,24587,,,,24426,,,0,0,0
4,24510,,,,24236,,,0,0,0
5,24364,,,,24134,,,0,0,0
6,24029,,,,23900,,,0,0,0
7,23540,,,,23394,,,0,0,0
8,22931,,,,22752,,,0,0,0
9,22476,,,,22422,,,0,0,0
10,22489,,,,22454,,,0,0,0
11,23062,,,,22838,,,0,0,0
12,23745,,,,23336,,,0,0,0
13,24096,,,,23515,,,0,0,0
14,24435,,,,23473,,,0,0,0
15,24578,,,,23170,,,0,0,0
16,24681,,,,22969,,,0,0,0
17,24885,,,,22461,,,0,0,0
18,25106,,,,22667,,,0,0,0
19,25057,,,,22661,,,0,0,0
20,25069,,,,22520,,,0,0,0
21,25174,,,,22449,,,0,0,0
22,25176,,,,22483,,,0,0,0
23,25173,,,,22534,,,0,0,0
24,25391,,,,22845,,,0,0,0
25,25816,,,,23141,,,0,0,0
26,25996,,,,23535,,,0,0,0
27,26142,,,,23659,,,0,0,0
28,26072,,,,23983,,,0,0,0
29,25943,,,,23769,,,0,0,0
30,25862,,,,23595,,,0,0,0
31,25768,,,,22804,,,0,0,0
32,25760,,,,21990,,,0,0,0
33,25807,,,,22371,,,0,0,0
34,25775,,,,23643,,,0,0,0
35,25567,,,,23555,,,0,0,0
36,25082,,,,23112,,,0,0,0
37,24057,,,,22083,,,0,0,0
38,22634,,,,20691,,,0,0,0
39,21662,,,,19917,,,0,0,0
40,21234,,,,19745,,,0,0,0
41,20892,,,,19855,,,0,0,0
42,20640,,,,19895,,,0,0,0
43,20541,,,,19987,,,0,0,0
44,20957,,,,20690,,,0,0,0
45,20990,,,,20760,,,0,0,0
46,21010,,,,20896,,,0,0,0
47,21178,,,,21063,,,0,0,0
48,21297,,,,21203,,,0,0,0
49,21392,,,,21272,,,0,0,0
50,21405,,,,21325,,,0,0,0
51,21514,,,,21329,,,0,0,0
52,21549,,,,21289,,,0,0,0
53,21535,,,,21143,,,0,0,0
54,21635,,,,21234,,,0,0,0
55,21818,,,,21257,,,0,0,0
56,21901,,,,21361,,,0,0,0
57,21943,,,,21365,,,0,0,0
58,21910,,,,21358,,,0,0,0
59,22037,,,,21467,,,0,0,0
60,22168,,,,21540,,,0,0,0
61,22234,,,,21769,,,0,0,0
62,22183,,,,21952,,,0,0,0
63,22280,,,,22022,,,0,0,0
64,22289,,,,22268,,,0,0,0
65,22219,,,,22279,,,0,0,0
66,22286,,,,22439,,,0,0,0
67,22272,,,,22470,,,0,0,0
68,22318,,,,22540,,,0,0,0
69,22062,,,,22205,,,0,0,0
70,21992,,,,22195,,,0,0,0
71,21899,,,,22069,,,0,0,0
72,21733,,,,21943,,,0,0,0
73,21721,,,,21951,,,0,0,0
74,21700,,,,21969,,,0,0,0
75,21668,,,,21905,,,0,0,0
76,21957,,,,22183,,,0,0,0
77,21944,,,,22192,,,0,0,0
78,22316,,,,22571,,,0,0,0
79,22630,,,,22791,,,0,0,0
80,23004,,,,23259,,,0,0,0
81,23364,,,,23476,,,0,0,0
82,23660,,,,23779,,,0,0,0
83,24006,,,,24118,,,0,0,0
84,24348,,,,24439,,,0,0,0
85,24407,,,,24509,,,0,0,0
86,24471,,,,24580,,,0,0,0
87,24528,,,,24576,,,0,0,0
88,24563,,,,24532,,,0,0,0
89,24534,,,,24359,,,0,0,0
90,24873,,,,24727,,,0,0,0
91,25105,,,,25072,,,0,0,0
92,24920,,,,24865,,,0,0,0
93,24589,,,,24616,,,0,0,0
94,24520,,,,24640,,,0,0,0
95,24205,,,,24397,,,0,0,0
96,24084,,,,24240,,,0,0,0
97,23978,,,,23901,,,0,0,0
98,23987,,,,23887,,,0,0,0
99,24217,,,,24195,,,0,0,0
100,24587,,,,24678,,,0,0,0
101,24870,,,,24966,,,0,0,0
102,25086,,,,25073,,,0,0,0
103,25308,,,,25166,,,0,0,0
104,25674,,,,25384,,,0,0,0
105,26147,,,,25442,,,0,0,0
106,26585,,,,25865,,,0,0,0
107,26950,,,,25935,,,0,0,0
108,27049,,,,25645,,,0,0,0
109,27126,,,,25353,,,0,0,0
110,27237,,,,25457,,,0,0,0
111,27551,,,,25198,,,0,0,0
112,27836,,,,24819,,,0,0,0
113,27949,,,,24591,,,0,0,0
114,28200,,,,24376,,,0,0,0
115,28417,,,,24097,,,0,0,0
116,28122,,,,24198,,,0,0,0
117,28145,,,,25305,,,0,0,0
118,28279,,,,27344,,,0,0,0
119,28535,,,,28377,,,0,0,0
120,28834,,,,28940,,,0,0,0
121,29046,,,,29187,,,0,0,0
122,29177,,,,29360,,,0,0,0
123,29167,,,,29458,,,0,0,0
124,29001,,,,29283,,,0,0,0
125,28345,,,,28488,,,0,0,0
126,27137,,,,27063,,,0,0,0
127,25964,,,,25767,,,0,0,0
128,27326,,,,26300,,,0,0,0
129,28347,,,,25869,,,0,0,0
130,28412,,,,25076,,,0,0,0
131,28217,,,,24214,,,0,0,0
132,27575,,,,23606,,,0,0,0
133,26593,,,,23365,,,0,0,0
134,25523,,,,22526,,,0,0,0
135,24391,,,,21483,,,0,0,0
136,23281,,,,20567,,,0,0,0
137,22334,,,,20438,,,0,0,0
138,21718,,,,20293,,,0,0,0
139,21091,,,,20655,,,0,0,0
140,20218,,,,19980,,,0,0,0
141,19125,,,,19254,,,0,0,0
142,18251,,,,18344,,,0,0,0
143,17679,,,,17782,,,0,0,0
144,17545,,,,17810,,,0,0,0
145,17375,,,,17605,,,0,0,0
146,17297,,,,17593,,,0,0,0
147,17384,,,,17602,,,0,0,0
148,17874,,,,17720,,,0,0,0
149,18429,,,,17308,,,0,0,0
150,19241,,,,17529,,,0,0,0
151,19984,,,,18097,,,0,0,0
152,20884,,,,19359,,,0,0,0
153,21748,,,,20245,,,0,0,0
154,22443,,,,20609,,,0,0,0
155,22856,,,,20762,,,0,0,0
156,22711,,,,20119,,,0,0,0
157,22225,,,,20373,,,0,0,0
158,21592,,,,19715,,,0,0,0
159,21341,,,,19055,,,0,0,0
160,21129,,,,18891,,,0,0,0
161,20927,,,,18615,,,0,0,0
162,20720,,,,18179,,,0,0,0
163,20231,,,,17971,,,0,0,0
164,19848,,,,17571,,,0,0,0
165,18524,,,,16337,,,0,0,0
166,18475,,,,16305,,,0,0,0
167,18465,,,,16483,,,0,0,0
168,18504,,,,16592,,,0,0,0
169,18792,,,,17072,,,0,0,0
170,19325,,,,17314,,,0,0,0
171,19733,,,,17583,,,0,0,0
172,20167,,,,17900,,,0,0,0
173,20427,,,,18555,,,0,0,0
174,20513,,,,19098,,,0,0,0
175,20711,,,,19458,,,0,0,0
176,20741,,,,19606,,,0,0,0
177,20891,,,,19830,,,0,0,0
178,20719,,,,19830,,,0,0,0
179,20738,,,,19762,,,0,0,0
180,20853,,,,19886,,,0,0,0
