frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id,grasp_correction_m,grasp_audio_weight,grasp_active
1,0.0,generic_sequence_executor,-0.4339216372361592,-0.332081129,0.940017562,4.375624946,0.681163463,0.731111767,0.029104385,-0.025393995,generic-solve-93755e7aab23,0.159408710,0.945959,1
2,0.041667,generic_sequence_executor,-0.4339216372361592,-0.323261505,0.937708772,4.378665045,0.681456840,0.730860142,0.029128615,-0.024729579,generic-solve-93755e7aab23,0.158820358,1.000000,1
3,0.083333,generic_sequence_executor,-0.4339216372361592,-0.316070981,0.934527970,4.383005951,0.682033037,0.730381837,0.028682421,-0.023465450,generic-solve-93755e7aab23,0.159193806,1.000000,1
4,0.125,generic_sequence_executor,-0.32978044429948117,-0.311516937,0.930249163,4.385436553,0.683158700,0.729435814,0.027357013,-0.021660532,generic-solve-93755e7aab23,0.161824529,0.945959,1
5,0.166667,generic_sequence_executor,-0.22563925136280272,-0.308579161,0.925022955,4.384601566,0.685325728,0.727525160,0.025372210,-0.019800000,generic-solve-93755e7aab23,0.168197361,0.800737,1
6,0.208333,generic_sequence_executor,-0.22563925136280272,-0.305433129,0.919095069,4.387559769,0.689011317,0.724136832,0.023511966,-0.018342334,generic-solve-93755e7aab23,0.178985729,0.606531,1
7,0.25,generic_sequence_executor,-0.1909255203839102,-0.302307863,0.912462772,4.404544880,0.693870985,0.719536978,0.022383818,-0.017565847,generic-solve-93755e7aab23,0.192656919,0.411112,1
8,0.291667,generic_sequence_executor,-0.22563925136280272,-0.299917444,0.905145717,4.438152646,0.698507336,0.715048104,0.022106421,-0.017464752,generic-solve-93755e7aab23,0.205134150,0.249352,1
9,0.333333,generic_sequence_executor,-0.26035298234169524,-0.297361821,0.898779039,4.468940879,0.701167414,0.712418029,0.022541143,-0.017796224,generic-solve-93755e7aab23,0.211828662,0.135335,1
10,0.375,generic_sequence_executor,-0.22563925136280272,-0.292620888,0.896043058,4.465104545,0.700740419,0.712790584,0.023544969,-0.018387034,generic-solve-93755e7aab23,0.210000575,0.135335,1
11,0.416667,generic_sequence_executor,-0.26035298234169524,-0.285946269,0.896739889,4.429447979,0.697443471,0.715943091,0.024944187,-0.019387709,generic-solve-93755e7aab23,0.200124334,0.249352,1
12,0.458333,generic_sequence_executor,-0.22563925136280272,-0.279895622,0.897837457,4.399113994,0.692659017,0.720467447,0.026527873,-0.021128559,generic-solve-93755e7aab23,0.185513378,0.411112,1
13,0.5,generic_sequence_executor,-0.22563925136280272,-0.275608948,0.898090709,4.390010725,0.688052234,0.724719590,0.028337782,-0.023719381,generic-solve-93755e7aab23,0.170693523,0.606531,1
14,0.541667,generic_sequence_executor,-0.22563925136280272,-0.272915180,0.898429214,4.389707319,0.684707360,0.727666726,0.030811761,-0.026974108,generic-solve-93755e7aab23,0.159029997,0.800737,1
15,0.583333,generic_sequence_executor,-0.22563925136280272,-0.271811127,0.899232535,4.388333179,0.682743738,0.729196368,0.034413356,-0.030811793,generic-solve-93755e7aab23,0.152024439,0.945959,1
16,0.625,generic_sequence_executor,-0.15621178940501723,-0.271624087,0.900187070,4.385438650,0.681632669,0.729786223,0.039210231,-0.035376996,generic-solve-93755e7aab23,0.149476941,1.000000,1
17,0.666667,generic_sequence_executor,-0.1909255203839102,-0.272133022,0.901218922,4.382209794,0.680852172,0.729928655,0.044751651,-0.040518739,generic-solve-93755e7aab23,0.150065308,1.000000,1
18,0.708333,generic_sequence_executor,-0.22563925136280272,-0.274718894,0.902304408,4.379750710,0.680195583,0.729918847,0.049968584,-0.045338572,generic-solve-93755e7aab23,0.151970982,1.000000,1
19,0.75,generic_sequence_executor,-0.15621178940501723,-0.279107483,0.903210694,4.379352957,0.679714108,0.729904811,0.053521649,-0.048612048,generic-solve-93755e7aab23,0.153384927,0.945959,1
20,0.791667,generic_sequence_executor,-0.1909255203839102,-0.283157747,0.903765522,4.380694338,0.679488962,0.729913011,0.054996713,-0.049971068,generic-solve-93755e7aab23,0.153101753,0.800737,1
21,0.833333,generic_sequence_executor,-0.1909255203839102,-0.286471532,0.903895535,4.383068964,0.679443648,0.729919166,0.055254476,-0.050212381,generic-solve-93755e7aab23,0.150744758,0.606531,1
